iter	Passed	Remaining
0	99	99683
1	101	50886
2	104	34653
3	106	26577
4	110	21960
5	112	18690
6	114	16256
7	116	14425
8	118	13037
9	120	11932
10	122	11018
11	125	10341
12	127	9683
13	129	9117
14	131	8656
15	133	8225
16	135	7858
17	138	7559
18	141	7317
19	144	7057
20	146	6820
21	148	6585
22	150	6382
23	152	6218
24	157	6157
25	159	5983
26	161	5820
27	163	5675
28	165	5536
29	167	5410
30	170	5322
31	172	5205
32	174	5108
33	176	5020
34	178	4924
35	180	4829
36	182	4745
37	184	4681
38	186	4598
39	188	4524
40	190	4451
41	192	4383
42	194	4318
43	195	4251
44	197	4187
45	199	4144
46	201	4094
47	203	4040
48	205	3988
49	207	3940
50	209	3890
51	210	3842
52	212	3804
53	214	3765
54	216	3722
55	218	3683
56	220	3641
57	221	3601
58	223	3562
59	225	3527
60	226	3491
61	228	3464
62	230	3431
63	232	3397
64	233	3365
65	235	3335
66	237	3307
67	238	3268
68	239	3237
69	241	3214
70	243	3191
71	245	3165
72	247	3139
73	248	3115
74	250	3092
75	252	3068
76	254	3045
77	255	3023
78	258	3012
79	260	2990
80	261	2967
81	263	2945
82	264	2926
83	266	2907
84	267	2882
85	269	2863
86	270	2842
87	272	2828
88	274	2810
89	276	2793
90	278	2778
91	279	2762
92	281	2748
93	283	2734
94	285	2722
95	287	2710
96	289	2695
97	291	2680
98	293	2669
99	295	2655
100	296	2642
101	298	2624
102	300	2614
103	302	2603
104	304	2591
105	305	2578
106	307	2566
107	309	2553
108	311	2543
109	312	2531
110	314	2520
111	316	2510
112	318	2498
113	320	2487
114	321	2474
115	323	2461
116	325	2458
117	327	2447
118	328	2434
119	330	2426
120	332	2416
121	334	2406
122	335	2391
123	337	2380
124	338	2371
125	340	2361
126	342	2351
127	343	2338
128	345	2333
129	347	2323
130	348	2314
131	350	2304
132	351	2294
133	353	2285
134	355	2276
135	356	2267
136	358	2260
137	360	2250
138	362	2242
139	363	2235
140	365	2227
141	367	2218
142	368	2210
143	370	2202
144	372	2195
145	374	2188
146	375	2180
147	377	2172
148	379	2164
149	380	2157
150	382	2150
151	384	2143
152	385	2136
153	387	2131
154	389	2126
155	391	2118
156	393	2110
157	394	2103
158	396	2097
159	398	2090
160	400	2084
161	402	2081
162	404	2076
163	406	2070
164	407	2064
165	409	2058
166	411	2052
167	413	2046
168	415	2040
169	416	2035
170	418	2030
171	420	2024
172	422	2017
173	423	2010
174	425	2004
175	426	1998
176	428	1994
177	430	1988
178	433	1986
179	434	1979
180	435	1970
181	437	1964
182	438	1958
183	440	1952
184	442	1947
185	443	1942
186	445	1937
187	447	1934
188	449	1929
189	451	1924
190	453	1919
191	454	1914
192	456	1909
193	458	1905
194	460	1900
195	462	1896
196	464	1891
197	465	1886
198	467	1882
199	469	1878
200	471	1874
201	473	1869
202	474	1864
203	476	1860
204	478	1856
205	480	1851
206	481	1845
207	483	1841
208	485	1836
209	487	1832
210	488	1827
211	490	1823
212	492	1819
213	494	1814
214	495	1809
215	497	1804
216	498	1799
217	500	1794
218	501	1789
219	503	1784
220	505	1780
221	506	1776
222	508	1772
223	510	1767
224	511	1763
225	513	1758
226	515	1754
227	516	1749
228	518	1746
229	521	1744
230	522	1739
231	524	1737
232	526	1733
233	528	1729
234	530	1725
235	531	1721
236	533	1717
237	535	1714
238	537	1710
239	538	1706
240	540	1702
241	542	1698
242	543	1694
243	545	1689
244	548	1688
245	549	1685
246	551	1681
247	553	1677
248	554	1672
249	556	1668
250	558	1665
251	559	1661
252	561	1657
253	563	1654
254	565	1651
255	566	1647
256	568	1643
257	570	1639
258	571	1635
259	573	1632
260	575	1628
261	576	1625
262	578	1622
263	580	1618
264	582	1614
265	583	1610
266	585	1607
267	587	1603
268	588	1600
269	590	1596
270	592	1592
271	593	1589
272	595	1586
273	597	1582
274	598	1579
275	600	1576
276	602	1573
277	604	1569
278	606	1566
279	608	1564
280	610	1560
281	611	1557
282	613	1554
283	615	1550
284	616	1547
285	618	1543
286	620	1540
287	621	1537
288	624	1535
289	626	1532
290	627	1529
291	629	1526
292	631	1523
293	633	1520
294	634	1516
295	636	1514
296	639	1512
297	640	1509
298	642	1506
299	644	1503
300	646	1500
301	648	1497
302	650	1495
303	651	1492
304	654	1490
