iter	Passed	Remaining
0	4	4877
1	7	3664
2	9	3116
3	11	2751
4	12	2518
5	14	2368
6	16	2371
7	18	2348
8	20	2300
9	22	2235
10	24	2193
11	26	2168
12	28	2127
13	29	2089
14	33	2200
15	35	2182
16	37	2141
17	38	2123
18	41	2119
19	42	2095
20	44	2083
21	48	2172
22	51	2177
23	53	2174
24	55	2171
25	57	2153
26	59	2140
27	61	2148
28	64	2166
29	66	2153
30	70	2203
31	72	2189
32	74	2173
33	77	2208
34	81	2235
35	82	2216
36	84	2202
37	86	2190
38	88	2169
39	89	2150
40	92	2174
41	95	2175
42	97	2162
43	99	2157
44	101	2144
45	102	2130
46	104	2117
47	107	2133
48	109	2133
49	111	2121
50	113	2113
51	115	2105
52	117	2097
53	118	2084
54	122	2105
55	124	2103
56	126	2098
57	129	2099
58	131	2090
59	132	2079
60	134	2072
61	137	2081
62	139	2078
63	141	2069
64	143	2062
65	145	2053
66	146	2042
67	148	2032
68	150	2032
69	152	2030
70	154	2023
71	156	2013
72	158	2009
73	160	2004
74	161	1996
75	163	1987
76	166	1990
77	167	1981
78	169	1971
79	171	1966
80	172	1960
81	174	1952
82	175	1936
83	176	1929
84	179	1931
85	181	1929
86	183	1921
87	184	1917
88	186	1910
89	188	1904
90	190	1898
91	192	1895
92	194	1894
93	196	1895
94	198	1890
95	200	1886
96	202	1885
97	204	1879
98	205	1871
99	208	1878
100	210	1875
101	212	1868
102	214	1866
103	216	1861
104	217	1856
105	219	1852
106	222	1856
107	224	1854
108	226	1849
109	228	1847
110	230	1850
111	232	1846
112	234	1841
113	238	1853
114	240	1852
115	242	1846
116	244	1848
117	246	1844
118	248	1839
119	250	1834
120	252	1835
121	254	1830
122	256	1825
123	258	1824
124	259	1818
125	261	1814
126	262	1807
127	265	1808
128	267	1808
129	270	1807
130	271	1801
131	273	1799
132	275	1795
133	277	1790
134	279	1788
135	281	1790
136	284	1789
137	285	1784
138	288	1786
139	290	1784
140	292	1781
141	296	1788
142	299	1792
143	302	1797
144	304	1797
145	306	1795
146	312	1810
147	313	1807
148	316	1807
149	318	1804
150	320	1800
151	322	1796
152	324	1798
153	327	1799
154	329	1794
155	330	1790
156	332	1787
157	334	1782
158	336	1777
159	338	1778
160	340	1772
161	342	1770
162	343	1765
163	345	1762
164	347	1757
165	348	1752
166	350	1748
167	353	1748
168	355	1745
169	357	1743
170	358	1739
171	360	1736
172	362	1732
173	364	1728
174	365	1723
175	368	1723
176	370	1723
177	372	1721
178	374	1717
179	376	1713
180	377	1709
181	379	1705
182	381	1703
183	383	1701
184	385	1699
185	387	1695
186	389	1694
187	391	1690
188	392	1686
189	394	1683
190	397	1681
191	399	1680
192	401	1676
193	402	1672
194	404	1671
195	406	1667
196	408	1663
197	409	1659
198	412	1661
199	415	1660
200	416	1656
201	418	1653
202	420	1651
203	422	1648
204	424	1644
205	426	1643
206	429	1643
207	431	1644
208	433	1640
209	434	1635
210	436	1631
211	438	1629
212	440	1626
213	442	1624
214	444	1622
215	446	1618
216	447	1615
217	449	1611
218	450	1607
219	452	1603
220	453	1599
221	455	1597
222	457	1593
223	458	1589
224	460	1585
225	461	1582
226	463	1578
227	464	1574
228	466	1570
229	468	1567
230	469	1563
231	471	1560
232	472	1556
233	474	1552
234	475	1548
235	477	1545
236	478	1541
237	480	1537
238	481	1533
239	482	1529
240	484	1525
241	486	1523
242	487	1519
243	489	1516
244	490	1512
245	492	1509
246	493	1505
247	495	1502
248	496	1498
249	498	1495
250	501	1495
251	503	1494
252	504	1490
253	506	1486
254	507	1483
255	509	1479
256	510	1476
257	512	1473
258	513	1469
259	515	1467
260	517	1465
261	519	1462
262	520	1459
263	522	1456
264	523	1453
265	525	1449
266	526	1446
267	528	1443
268	530	1441
269	532	1439
270	534	1436
271	535	1433
272	537	1430
273	538	1427
274	540	1424
275	541	1421
276	543	1418
277	545	1417
278	547	1414
279	548	1411
280	550	1408
281	552	1405
282	553	1402
283	555	1399
284	556	1396
285	558	1393
286	560	1391
287	561	1389
288	563	1386
289	564	1383
290	566	1380
291	568	1377
292	569	1374
293	571	1371
294	572	1368
295	574	1367
296	576	1364
297	577	1361
298	579	1358
299	580	1355
300	582	1352
301	583	1349
302	585	1346
303	586	1343
304	589	1342
305	591	1340
306	592	1338
307	594	1335
308	595	1332
309	597	1330
310	599	1327
311	600	1324
312	602	1321
313	604	1320
314	606	1318
315	607	1315
316	609	1312
317	610	1309
318	612	1306
319	613	1304
320	615	1301
321	616	1299
322	619	1297
323	621	1295
324	622	1293
325	624	1290
326	625	1287
327	627	1285
328	628	1282
329	630	1279
330	631	1276
331	634	1275
332	635	1273
333	637	1270
334	638	1268
335	640	1265
336	641	1262
337	643	1260
338	644	1257
339	646	1255
340	649	1254
341	650	1252
342	652	1249
343	653	1247
344	655	1244
345	657	1242
346	658	1239
347	661	1238
348	663	1238
349	666	1237
350	668	1235
351	669	1232
352	671	1230
353	673	1228
354	674	1225
355	676	1223
356	678	1221
357	680	1219
358	681	1217
359	685	1218
360	687	1216
361	688	1213
362	691	1213
363	693	1211
364	695	1210
365	697	1207
366	698	1205
367	700	1202
368	702	1200
369	703	1198
370	705	1196
371	707	1195
372	710	1193
373	711	1191
